,buildingname,buildingaddress,buildingtype,greenmarkstatus,greenmarkrating,buildingsize,grossfloorarea,2017energyuseintensity,2018energyusintensity
763,MINISTRY OF FOREIGN AFFAIRS BUILDING,"1 SHERWOOD ROAD, SINGAPORE 248163",Office,Yes,Gold,Large,"35,533",220.0,223.0
764,51 CUPPAGE ROAD,"51 CUPPAGE ROAD, SINGAPORE 229469",Office,Yes,Gold,Large,"30,915",172.0,169.0
768,INCOME AT PRINSEP,"30 PRINSEP STREET, SINGAPORE 188647",Mixed Development,Yes,Gold,Small,"6,256",241.0,226.0
769,INCOME AT TAMPINES JUNCTION,"300 TAMPINES AVENUE 5, SINGAPORE 529653",Office,Yes,GoldPlus,Large,"19,566",186.0,195.0
780,CES CENTRE,"171 CHIN SWEE ROAD, SINGAPORE 169877",Office,Yes,Certified,Small,"12,253",120.0,113.0
786,THE PUNGGOL SETTLEMENT,"3 PUNGGOL POINT ROAD, SINGAPORE 828694",Retail,Yes,Certified,Small,"3,000",493.0,481.0
790,THE SELETAR MALL,"33 SENGKANG WEST AVENUE, SINGAPORE 797653",Retail,Yes,Gold,Large,"25,380",603.0,651.0
791,THE PARAGON,"290 ORCHARD ROAD, SINGAPORE 238859",Retail,Yes,Certified,Large,"94,403",402.0,379.0
798,MARINA AT KEPPEL BAY,"2 KEPPEL BAY VISTA, SINGAPORE 098382",Mixed Development,Yes,Gold,Small,"3,000",1075.0,1059.0
802,ONE RAFFLES PLACE,"1 RAFFLES PLACE, SINGAPORE 048616",Office,Yes,Gold,Large,"117,542",238.0,206.0
803,SIGLAP CENTRE,"55 SIGLAP ROAD, SINGAPORE 455871",Retail,Yes,GoldPlus,Small,"4,288",318.0,299.0
804,SYNAPSE,"3 BIOPOLIS DRIVE, SINGAPORE 138623",Office,Yes,Gold,Large,"42,976",164.0,185.0
820,HOTEL JEN TANGLIN SINGAPORE,"1A CUSCADEN ROAD, SINGAPORE 249716",Hotel,Yes,GoldPlus,Large,"26,385",288.0,287.0
842,MOE BUILDING,"1 NORTH BUONA VISTA DRIVE, SINGAPORE 138675",Office,Yes,Platinum,Large,"51,479",208.0,213.0
847,E!HUB@DOWNTOWN EAST,"1 PASIR RIS CLOSE, SINGAPORE 519599",Mixed Development,Yes,Gold,Large,"37,920",693.0,726.0
849,CAUSEWAY POINT,"1 WOODLANDS SQUARE, SINGAPORE 738099",Retail,Yes,Platinum,Large,"58,450",466.0,466.0
850,PSA BUILDING,"460 ALEXANDRA ROAD, SINGAPORE 119963",Office,Yes,GoldPlus,Large,"79,650",235.0,231.0
851,CROWNE PLAZA CHANGI AIRPORT,"75 AIRPORT BOULEVARD, SINGAPORE 819664",Hotel,Yes,Certified,Large,"41,099",221.0,223.0
856,NTUC TRADE UNION HOUSE,"73 BRAS BASAH ROAD, SINGAPORE 189556",Private School,Yes,Gold,Small,"5,656",258.0,240.0
857,TRIPLEONE SOMERSET,"111 SOMERSET ROAD, SINGAPORE 238164",Office,Yes,GoldPlus,Large,"68,836",104.0,109.0
863,SINGAPORE POLYTECHNIC,"500 DOVER ROAD, SINGAPORE 139651",Polytechnic,Yes,Platinum,Large,"289,060",134.0,127.0
875,ALEXANDRA POINT,"438 ALEXANDRA ROAD, SINGAPORE 119958",Office,Yes,Platinum,Large,"24,895",124.0,124.0
882,YEWTEE POINT,"21 CHOA CHU KANG NORTH 6, SINGAPORE 689578",Retail,Yes,Certified,Small,"10,880",637.0,616.0
930,JEM,"50 JURONG GATEWAY ROAD, SINGAPORE 608549",Retail,Yes,Platinum,Large,"108,169",341.0,336.0
936,NATIONAL LIBRARY BUILDING,"100 VICTORIA STREET, SINGAPORE 188064",Office,Yes,Platinum,Large,"58,783",221.0,226.0
960,GREAT EASTERN CENTRE,"1 PICKERING STREET, SINGAPORE 048659",Office,Yes,Certified,Large,"43,006",198.0,194.0
968,LASALLE COLLEGE OF THE ARTS,"1 MCNALLY STREET, SINGAPORE 187940",Private College,Yes,Gold,Large,"35,823",167.0,168.0
975,CONNECTION ONE,"168 JALAN BUKIT MERAH, SINGAPORE 150168",Office,Yes,Platinum,Large,"95,696",141.0,142.0
977,THE ADELPHI,"1 COLEMAN STREET, SINGAPORE 179803",Mixed Development,Yes,Platinum,Large,"41,158",230.0,160.0
986,FAMILY LINK @ LENGKOK BAHRU,"8 LENGKOK BAHRU, SINGAPORE 159052",Office,Yes,Certified,Small,"6,898",112.0,118.0
990,ICON@IBP,"3A INTERNATIONAL BUSINESS PARK, SINGAPORE 609935",Office,Yes,GoldPlus,Large,"41,135",107.0,102.0
994,CONNEXION,"1 FARRER PARK STATION ROAD, SINGAPORE 217562",Retail,Yes,Platinum,Large,"58,369",299.0,322.0
997,THE ROCHESTER,"35 ROCHESTER DRIVE, SINGAPORE 138639",Retail,Yes,Gold,Small,"8,599",134.0,127.0
